path,destination,note,size_bytes
README_v88_mobile_time_debug_patch.md,KV ReservationService,Reservation-service patch/readme/startup history,1144
.env.startup-sync,Do not copy,"Secrets, local data, generated output, backups, or transient files",355
.env.local.bak-20260527-190157,Do not copy,"Secrets, local data, generated output, backups, or transient files",1224
.env.startup-sync.example,Do not copy,"Secrets, local data, generated output, backups, or transient files",1180
README_v103_ADMIN_TICKET_DATA_READABILITY.md,KV ReservationService,Reservation-service patch/readme/startup history,910
README_KVRS_V121_STARTUP_WAIT_THEN_LOCAL_SHEETS.txt,KV ReservationService,Reservation-service patch/readme/startup history,1775
start_kvrs_with_events_sync.sh,KV ReservationService,Reservation-service patch/readme/startup history,13208
.DS_Store,Do not copy,"Secrets, local data, generated output, backups, or transient files",6148
.env.local,Do not copy,"Secrets, local data, generated output, backups, or transient files",1177
README_KVRS_V120_AFFECTED_DATE_SHEET_BACKFILL.txt,KV ReservationService,Reservation-service patch/readme/startup history,1648
README_v85_SPOTHOPPER_GROSS_SALES.txt,KV ReservationService,Reservation-service patch/readme/startup history,887
README_v115_DELETE_RESERVATIONS.md,KV ReservationService,Reservation-service patch/readme/startup history,1375
README_v105_ADMIN_LAYOUT_POLISH.md,KV ReservationService,Reservation-service patch/readme/startup history,691
.env.startup-sync.bak-20260527-204622,Do not copy,"Secrets, local data, generated output, backups, or transient files",374
start_kvrs_tailscale_dev.sh,KV ReservationService,Reservation-service patch/readme/startup history,654
README_v113_SHEET_TIME_FIX.md,KV ReservationService,Reservation-service patch/readme/startup history,806
next.config.mjs,KV Website,Public website/content/marketing file,113
tsconfig.tsbuildinfo,Do not copy,"Secrets, local data, generated output, backups, or transient files",925607
README_v112_MOBILE_IOS_RESERVATION_SHEET_SYNC.md,KV ReservationService,Reservation-service patch/readme/startup history,2312
README_v117_RESERVATION_SORT_AND_PM_TIME_FIX.md,KV ReservationService,Reservation-service patch/readme/startup history,1374
README_v102_ADMIN_READABILITY_OVERHAUL.md,KV ReservationService,Reservation-service patch/readme/startup history,1118
README_FULL_REPLACEMENT_v89.txt,KV ReservationService,Reservation-service patch/readme/startup history,1331
README_v114_TIME_DISPLAY_FORMAT_FIX.md,KV ReservationService,Reservation-service patch/readme/startup history,1071
README_v89_SPOTHOPPER_SHEETS_COPY_SYNC.md,KV ReservationService,Reservation-service patch/readme/startup history,3652
README_v90_RESERVATION_SHEET_LAYOUT_FIX.md,KV ReservationService,Reservation-service patch/readme/startup history,1647
.env.bak-20260527-190157,Do not copy,"Secrets, local data, generated output, backups, or transient files",1082
next-env.d.ts,KV Website,Public website/content/marketing file,201
README.md,KV ReservationService,Reservation-service patch/readme/startup history,8001
README_v118_MOBILE_DELETE_READY.md,KV ReservationService,Reservation-service patch/readme/startup history,1112
.env.bak-20260527-152638,Do not copy,"Secrets, local data, generated output, backups, or transient files",1056
README_KVRS_V121B_MAC_BASH32_STARTUP_FIX.txt,KV ReservationService,Reservation-service patch/readme/startup history,492
.gitignore,KV Website,Public website/content/marketing file,154
package-lock.json,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,43200
package.json,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,1211
.env,Do not copy,"Secrets, local data, generated output, backups, or transient files",1035
start_kvrs_with_events_sync.sh.v121B-backup-20260526-194157,KV ReservationService,Reservation-service patch/readme/startup history,13111
.nvmrc,KV Website,Public website/content/marketing file,8
README_KVRS_STARTUP_SYNC.txt,KV ReservationService,Reservation-service patch/readme/startup history,612
README_KVRS_V120_LOCAL_SHEET_DATE_REBUILD.txt,KV ReservationService,Reservation-service patch/readme/startup history,2579
tsconfig.json,KV Website,Public website/content/marketing file,717
.kvrs_last_events_manager_startup_sync,Do not copy,"Secrets, local data, generated output, backups, or transient files",11
README_KVRS_V120B_AFFECTED_DATE_SHEET_BACKFILL_FIX.txt,KV ReservationService,Reservation-service patch/readme/startup history,994
.env.example,Do not copy,"Secrets, local data, generated output, backups, or transient files",4143
apply_v121b_mac_bash32_startup_fix.sh,KV ReservationService,Reservation-service patch/readme/startup history,2578
.env.startup-sync.bak-20260527-204408,Do not copy,"Secrets, local data, generated output, backups, or transient files",381
README_v95_SPOTHOPPER_DETAILED_SYNC_SAFE_INSERT.md,KV ReservationService,Reservation-service patch/readme/startup history,2351
README_v116_HIDE_PAST_RESERVATIONS.md,KV ReservationService,Reservation-service patch/readme/startup history,982
README_v104_ADMIN_TICKET_SORTING_AND_HISTORICAL_SYNC_NOTE.md,KV ReservationService,Reservation-service patch/readme/startup history,687
README_v94_SPOTHOPPER_SHEET_CLEANUP.md,KV ReservationService,Reservation-service patch/readme/startup history,1548
README_KVRS_V120C_AFFECTED_DATE_SHEET_BACKFILL_FIX.txt,KV ReservationService,Reservation-service patch/readme/startup history,649
.env.local.bak-20260527-152638,Do not copy,"Secrets, local data, generated output, backups, or transient files",1198
kvrs_confirmation_backend_audit.txt,KV ReservationService,Reservation-service patch/readme/startup history,12763
README_v86_MOBILE_API_CONTRACT.txt,KV ReservationService,Reservation-service patch/readme/startup history,4085
app/styles.css,KV Website,Public website/content/marketing file,72217
app/layout.tsx,KV Website,Public website/content/marketing file,1502
app/page.tsx,KV Website,Public website/content/marketing file,7751
secrets/Google API Key.rtf,Do not copy,"Secrets, local data, generated output, backups, or transient files",416
secrets/google-service-account.json,Do not copy,"Secrets, local data, generated output, backups, or transient files",2364
secrets/Untitled 2.rtf,Do not copy,"Secrets, local data, generated output, backups, or transient files",605
secrets/.gitkeep,Do not copy,"Secrets, local data, generated output, backups, or transient files",0
secrets/FalAi API Key.rtf,Do not copy,"Secrets, local data, generated output, backups, or transient files",530
secrets/Untitled.rtf,Do not copy,"Secrets, local data, generated output, backups, or transient files",449
secrets/Untitled5.rtf,Do not copy,"Secrets, local data, generated output, backups, or transient files",449
secrets/Reservations AppScript WebApp ID and URL.rtf,Do not copy,"Secrets, local data, generated output, backups, or transient files",596
secrets/README_DO_NOT_SHARE_KEYS.txt,Do not copy,"Secrets, local data, generated output, backups, or transient files",300
prisma/schema.prisma,Review / bridge,Public checkout/event-reservation files; decide whether to keep in KVRS or refactor to link from website,7402
prisma/dev.db,Do not copy,"Secrets, local data, generated output, backups, or transient files",6049792
docs/SPOTHOPPER_RESERVATION_IMPORT.md,KV ReservationService,Reservation/system documentation,4452
docs/AI_RESERVATION_ASSISTANT.md,KV ReservationService,Reservation/system documentation,6972
docs/PRODUCTION_DATABASE_PLAN.md,KV ReservationService,Reservation/system documentation,1709
docs/OPENAI_ASSISTANT_SETUP.md,KV ReservationService,Reservation/system documentation,2195
docs/WINDOWS_EVENTS_MANAGER_PUSH_SYNC.md,KV ReservationService,Reservation/system documentation,4363
docs/PUBLIC_LAUNCH_PLAN.md,KV Website,Public website/content/marketing file,712
docs/DATABASE_NOTES.md,KV ReservationService,Reservation/system documentation,772
docs/AUTOMATION_INTEGRATION.md,KV ReservationService,Reservation/system documentation,3212
docs/SITE_IMAGE_IMPORT.md,KV Website,Public website/content/marketing file,1610
